"filename", "language", "Markdown", "toml", "JSON", "Python", "comment", "blank", "total"
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Code-alongs\L00-input-output.ipynb", "JSON", 0, 0, 141, 0, 0, 1, 142
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Code-alongs\L01-if-statements.ipynb", "JSON", 0, 0, 143, 0, 0, 1, 144
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Code-alongs\L02-while-statements.ipynb", "JSON", 0, 0, 154, 0, 0, 1, 155
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Code-alongs\L03-for-statements.ipynb", "JSON", 0, 0, 513, 0, 0, 1, 514
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Code-alongs\L04-lists.ipynb", "JSON", 0, 0, 265, 0, 0, 1, 266
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Code-alongs\L05-strings.ipynb", "JSON", 0, 0, 306, 0, 0, 1, 307
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Code-alongs\L06-functions.ipynb", "JSON", 0, 0, 312, 0, 0, 1, 313
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Code-alongs\L07-error_handling.ipynb", "JSON", 0, 0, 196, 0, 0, 1, 197
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Code-alongs\L08-file_handling.ipynb", "JSON", 0, 0, 169, 0, 0, 1, 170
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Code-alongs\L09-dictionary.ipynb", "JSON", 0, 0, 253, 0, 0, 1, 254
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Code-alongs\L10-numpy.ipynb", "JSON", 0, 0, 474, 0, 0, 1, 475
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Code-alongs\L11-OOP_basics.ipynb", "JSON", 0, 0, 363, 0, 0, 1, 364
